

                               Corporate Credit Cards
           Issuer                                           Phone
  ADVANTA FINANCIAL                                     800-705-7255
AMALGAMATED BANK OF CHI                                 800-723-0303
   AMERICAN EXPRESS                                     800-THE CARD
      AMSOUTH BANK                                      800-365-5700
     ASSOCIATED BANK                                    800-472-7708
 ASSOCIATED CAPITAL BANK                                877-462-8802
ASSOCIATED NATIONAL BANK                                800-233-1343
  AT&T UNIVERSIAL CARD                                  800-423-4343
     BANK OF AMERICA                                    800-243-7762
       BANK ONE N.A.                                    800-945-2000
       BANK BOSTON                                      800-252-2273
         BAY BANK                                       800-229-3278
  CALIFORNIA BANK & TRUST                               800-356-4536
        CAPITAL ONE                                     800-955-7070
  CENTRAL CAROLINA BANK                                 800-422-2226
CHASE MANHATTAN BANK N.A.                               800-882-0991
        CITI BANK N.A.                                  800-456-4277
       CITIZEN’S BANK                                   800-438-9222
CITIZEN’S COMMERCIAL BANK                               800-288-2484
 COLONIAL NATIONAL BANK                                 800-570-6400
  COLUMBUS BANK & TRUST                                 800-282-1205
      COMMERCE BANK                                     800-645-2103
        COMPASS BANK                                    800-239-5175
       DISCOVER CARD                                    800-347-2683
  ELAN FINANCIAL SERVICES                               800-644-3526
     FCC NATIONAL BANK                                  800-888-5649
    THE FIFTH THIRD BANK                                800-972-3030
       FIRST BANK, N.A.                                 888-467-2217
         FIRST CARD                                     312-732-4000
    FIRST CITIZEN’S BANK                                800-763-0356
 FIRST INTERSTATE BANCORP                               800-955-5050
      FIRST MERIT CORP                                  800-572-6039

                                                                       328
