

            Issuer                                        Phone
   FIRST NATIONAL BANK                                800-688-7070
FIRST NEW HAMPSHIRE BANK                              800-852-3719
  FIRST TENNESSEE BANK                                800-234-2840
FIRST UNION NATIONAL BANK                             800-704-0883
       FIRST USA BANK                                 800-955-3050
    FIRST VIRGINA BANK                                800-421-2110
        FULTON BANK                                   800-322-2595
 GE PRODUCTIVITY BIZ CARD                             800-562-8973
        HSBC BANK USA                                 800-975-4722
  HUNTING NATIONAL BANK                               800-237-7400
        INTRUST BANK                                  800-999-4048
         KEY BANK, N.A.                               800-444-4539
        M&T BANK, N.A.                                800-724-3222
  MBNA AMERICA BANK, N.A.                             800-545-7899
    MELLON BANK (DE) N.A.                             800-753-7011
      MERCANTILE BANK                                 800-755-4070
       MIDWEST EXPRESS                                800-320-2282
     NATIONAL CITY BANK                               800-622-6736
 NATIONS BANK OF DELAWARE                             800-373-3368
         NORWEST BANK                                 800-247-8101
PACIFIC CENTURY BANK OF CHI.                          602-257-4440
PEOPLE’S BANK OF BRIDGE PORT                          800-426-1114
      PNC NATIONAL BANK                               800-762-2273
 ROCKY MOUTIAN BANKCARD                               800-933-4433
SIMMIONS FIRST NATIONAL BNK                           800-636-5151
      SOUTHTRUST BANK                                 800-292-6538
        SUNTRUST BANK                                 800-432-4932
         SUNWEST BANK                                 800-233-3722
    SYNOVUS BUSINESS VISA                             800-543-8227
     TRAVELERS BANK USA                               800-772-7775
   UNITED NATIONAL BANK                               800-223-1123
   U.S. BANK NATIONAL ASSN                            800-445-9934
        WACHOVIA BANK                                 800-263-0988

                                                                     329
