

SECRETARY OF STATE WEBSITES

Alabama           www.sos. state .al.us
Alaska            www.dced.state.ak.us/occ
Arizona           http://www.azsos.gov/business_services/tnt/tnt_name_search_instructions.htm
Arkansas          www.sosweb. state . ar .us/
California        www.sos. ca .gov/business/
Colorado          http://www.colorado.gov/
Connecticut       www. ct .gov/sots/
Delaware          http://sos.delaware.gov/
Florida           www.sunbiz.org
Georgia           sos. georgia .gov/
Idaho             www.idsos. state .id.us/
Illinois          http://www.cyberdriveillinois.com/
Indiana           www.in.gov/sos
Iowa              www.sos. state .ia.us/
Kansas            www.kssos.org
Kentucky          www.sos.ky.gov
Louisiana         www.sos. louisiana .gov/
Maine             www. maine .gov/sos/
Maryland          www.sos. state . md .us/
Massachusetts     www.sec. state . ma .us/
Michigan          www. michigan .gov/sos
Minnesota         www.sos. state . mn .us/
Mississippi       www.sos. state . ms .us/
Missouri          www.sos. mo .gov/
Montana           www.sos.mt.gov/
Nebraska          www.sos. ne .gov
Nevada            http://sos.state.nv.us/
New Hampshire     www.sos. nh .gov
New Jersey        www. state . nj .us/ state
New Mexico        www.sos. state .nm.us
New York          www.dos. state .ny.us
North Carolina    www. secretary . state .nc.us/corporations
North Dakota      www.nd.gov/sos/businessserv
Ohio              www.sos. state . oh .us
Oklahoma          www.sos. state .ok.us/
Oregon            www.sos. state .or.us/
Pennsylvania      www.dos. state . pa .us/corps
Rhode Island      www. state . ri .us
South Carolina    www.scsos.com/
South Dakota      www.sdsos.gov
Tennessee         www. state . tn .us/sos
Texas             www.sos. state .tx.us
Vermont           www.sec. state . vt .us
Virginia          www.scc. virginia .gov
Washington        www.sec state .wa.gov
West Virginia     www.wvsos.com
Wisconsin         www.sos. state . wi .us
Wyoming           soswy. state .wy.us




32 |
